Company,Job Role,Tech/Non-Tech,Question 1,Answer 1,Question 2,Answer 2
Google,Software Engineer,Tech,What is the difference between list and tuple in Python?,Lists are mutable whereas tuples are immutable.,Explain polymorphism in OOP.,Polymorphism allows methods to do different things based on the object it is acting upon.
Google,Data Analyst,Tech,What is normalization in databases?,Normalization reduces redundancy and improves integrity.,Explain VLOOKUP in Excel.,VLOOKUP searches for a value in the first column and returns data in the same row from another column.
Google,Full Stack Developer,Tech,What is REST API?,REST API is an architectural style for distributed systems using stateless communication.,What is the difference between SQL and NoSQL?,"SQL is relational and structured, while NoSQL is non-relational and flexible."
Google,HR Marketing,Non-Tech,What is employer branding?,Employer branding is how a company promotes itself to potential employees.,What is the STAR method in interviews?,"STAR stands for Situation, Task, Action, and Result used to answer behavioral questions."
Google,TA Specialist,Non-Tech,What is talent acquisition?,Talent acquisition focuses on finding and acquiring skilled employees.,Difference between recruitment and selection?,"Recruitment attracts candidates, selection chooses the best fit."
Google,Campus Recruiter,Non-Tech,What qualities do you look for in fresh graduates?,"Adaptability, eagerness to learn, and problem-solving skills.",How do you handle mass hiring?,"By planning structured drives, screening tests, and automated interview tools."
Microsoft,Software Engineer,Tech,What is garbage collection in Java?,It is the process of automatically freeing memory by removing unused objects.,Explain cloud computing.,"Cloud computing delivers services like storage, servers, and software over the internet."
Microsoft,Data Analyst,Tech,What is regression analysis?,Regression estimates the relationship between variables.,Explain Power BI.,Power BI is a data visualization tool used for business intelligence.
Microsoft,HR Marketing,Non-Tech,What is employee engagement?,Employee engagement is the emotional commitment of employees towards their work.,Explain workforce diversity.,"It refers to hiring a workforce with varied backgrounds, experiences, and perspectives."
Capgemini,Software Engineer,Tech,What is Agile methodology?,Agile is an iterative approach to software development and project management.,What is DevOps?,DevOps integrates development and IT operations for faster delivery.
Capgemini,Campus Recruiter,Non-Tech,How do you assess campus candidates?,"Through aptitude tests, coding rounds, and group discussions.",What is onboarding?,Onboarding is the process of integrating new hires into the organization.
Wipro,Full Stack Developer,Tech,What is MVC architecture?,MVC stands for Model-View-Controller used in web applications.,Explain microservices.,Microservices is an architectural style dividing applications into independent services.
Wipro,HR Marketing,Non-Tech,What is succession planning?,Succession planning ensures roles are filled by skilled employees in the future.,Difference between HRM and HRD?,"HRM is administrative, HRD focuses on employee growth and development."
Infosys,Software Engineer,Tech,What is an operating system?,An OS is system software that manages computer hardware and software resources.,What is Big Data?,"Big Data refers to large datasets that require advanced tools to store, process, and analyze."
Infosys,TA Specialist,Non-Tech,How do you measure recruitment success?,"By time-to-hire, quality-of-hire, and retention rates.",Explain the importance of job descriptions.,They define roles clearly and help attract the right talent.
