"Company Name","Company Type","Question 1","Question 2","Question 3","Question 4","Question 5"
"Google","Tech","Develop a machine learning algorithm to detect fake news on social media.","Explain the purpose of a constructor in object-oriented programming.","What is your experience with project management methodologies like Agile or Scrum?","Design a secure mobile payment system for developing countries.","Describe the principles of Object-Oriented Programming (OOP)."
"ExxonMobil","Non-Tech","What is a business model?","Can you explain the concept of strategic alliances?","Can you describe what a franchise is?","Can you explain the importance of employee engagement in achieving business goals?","What are the basic principles of supply chain management?"
"Walmart","Non-Tech","Can you explain what a stakeholder is?","What is your understanding of the term 'cash flow'?","Can you describe what a business incubator is?","What is your experience with conducting market analysis?","What are some effective methods for performance evaluation?"
"Microsoft","Tech","Explain the difference between compilation and interpretation.","Optimize an SQL database for a high-volume financial transaction system.","What is your understanding of key performance indicators (KPIs)?","What are some effective techniques for conflict resolution?","What do you know about employee engagement?"
"Nike","Non-Tech","What is your understanding of corporate finance?","Can you explain what a business continuity plan (BCP) is?","Can you describe the importance of employee training?","What is your understanding of the sales funnel?","Can you describe the purpose of a business plan?"
"Apple","Tech","What is your understanding of a profit and loss statement?","Implement a quantum algorithm for solving a well-known computational problem.","What is your experience with financial analysis?","What is your experience with strategic decision-making?","What are some advanced techniques for customer retention?"
"Coca-Cola","Non-Tech","Can you describe what a merger and acquisition (M&A) is?","What is the importance of customer feedback?","Can you explain the difference between fixed and variable costs?","Can you describe the role of a business consultant?","What are the different types of business structures?"
"Amazon","Tech","Build a scalable image processing pipeline for a photo-sharing app.","What is the role of a business analyst?","What are the implications of blockchain technology for businesses?","Can you explain the role of artificial intelligence in business?","Can you describe the importance of ethical decision-making in business?"
"JPMorgan Chase","Non-Tech","Can you explain what a competitive advantage is?","What is your understanding of the term 'workplace culture'?","What are some challenges in managing remote teams?","Can you explain what customer segmentation means?","What do you know about the concept of diversification?"
"Procter & Gamble","Non-Tech","Can you explain what a target audience is?","Can you describe what corporate social responsibility (CSR) means?","Can you explain the concept of market share?","Can you describe what a business ethics program involves?","Can you explain what corporate governance is?"
"Netflix","Tech","What is the difference between stack and heap memory?","Can you describe how to conduct a competitor analysis?","What is your experience with business risk management?","What do you understand by the term 'brand equity'?","What is your understanding of the impact of technology on business models?"
"Tesla","Tech","Create a real-time sports analytics system using sensor data.","Can you explain what a balanced scorecard is?","Can you explain the concept of lean management?","What are some common tools for project management?","Can you describe what a business ecosystem is?"
"Adobe","Tech","Explain the concept of polymorphism.","What is your experience with international business practices?","What is your understanding of the role of data analytics in business strategy?","Can you describe the process of developing a comprehensive business strategy?","Can you describe the role of financial statements in business?"
"Unilever","Non-Tech","Can you describe the purpose of a marketing plan?","What is your understanding of key performance indicators (KPIs)?","Can you explain what market positioning means?","What is your experience with budgeting?","Can you describe what ethical leadership entails?"
"Ford","Non-Tech","Can you describe what e-commerce is?","Can you explain the concept of product differentiation?","Can you describe the role of a marketing manager?","What is your understanding of operational strategy?","Can you explain what corporate governance is?"
"Salesforce","Tech","What do you know about the term 'market research'?","Can you describe how to build a resilient organizational culture?","Can you describe the role of a business consultant?","What is your experience with aligning business and IT strategies?","What is your experience with project management?"
"Boeing","Non-Tech","What is your understanding of the term 'value chain'?","What is your understanding of the term 'workplace culture'?","What are some strategies for enhancing brand loyalty?","Can you describe what strategic planning is?","What is your experience with conducting market analysis?"
"Intel","Tech","Define encapsulation and give an example.","What is your understanding of corporate finance?","What is your understanding of market entry strategies?","Can you explain what customer relationship management (CRM) is?","Can you explain the importance of cross-functional collaboration in business?"
"Johnson & Johnson","Non-Tech","Can you explain what customer segmentation means?","What is your understanding of the term 'cash flow'?","Can you describe the challenges of global supply chains?","What is your experience with talent acquisition strategies?","What are some effective negotiation techniques?"
"Starbucks","Non-Tech","Can you describe what an elevator pitch is?","What is your experience with sales techniques?","What is your understanding of the sales funnel?","Can you describe what an elevator pitch is?","Can you explain what corporate governance is?"
"Cisco","Tech","What is an abstract class, and how is it different from an interface?","What is your understanding of supply chain sustainability?","What are the key factors in building a successful startup?","What is your understanding of organizational behavior?","Can you explain what a business ecosystem is?"
